layer_count,file,open_time
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\L05\U9\N46W122_D101_S002_T001_L05_U9_R8.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\L05\U9\N46W122_D101_S002_T001_L05_U9_R9.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC01_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC02_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC03_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC04_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC05_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC06_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC07_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC08_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC09_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S001_T001_LC10_U0_R0.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S002_T001_LC01_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W122\101_GTFeature\LC\U0\N46W122_D101_S002_T001_LC02_U0_R0.gpkg,0.002991
